,V1,V2,V3,V4,V5
1,0.265508663,0.3721239,0.397071694,0.629521669,0.201681931
2,0.6278761,0.734491337,0.629521669,0.397071694,0.798318069
3,0.18488226,0.702374036,0.397399533,0.116484715,0.943839339
4,0.297625964,0.81511774,0.116484715,0.397399533,0.056160661
5,0.168041526,0.807516399,0.266821706,0.227168118,0.602100675
6,0.192483601,0.831958474,0.227168118,0.266821706,0.397899325
7,0.585800305,0.008945796,0.203604784,0.19226167,0.813574215
8,0.991054204,0.414199695,0.19226167,0.203604784,0.186425785
9,0.200214453,0.685218596,0.635529858,0.197130682,0.104650128
10,0.314781404,0.799785547,0.197130682,0.635529858,0.895349872
11,0.606268298,0.937641973,0.18323489,0.263461029,0.807483389
12,0.062358027,0.393731702,0.263461029,0.18323489,0.192516611
13,0.988909298,0.397745453,0.080195589,0.0483461,0.243749391
14,0.602254547,0.011090702,0.0483461,0.080195589,0.756250609
15,0.466295241,0.207823317,0.554280659,0.451842766,0.321509179
16,0.792176683,0.533704759,0.451842766,0.554280659,0.678490821
17,0.221601397,0.02423391,0.143563964,0.149535102,0.443723588
18,0.97576609,0.778398603,0.149535102,0.143563964,0.556276412
19,0.507478203,0.306768506,0.295909845,0.480421753,0.085135969
20,0.693231494,0.492521797,0.480421753,0.295909845,0.914864031
21,0.277249794,0.000518313,0.353926754,0.009737268,0.064689777
22,0.999481687,0.722750206,0.009737268,0.353926754,0.935310223
23,0.069360916,0.817775199,0.653375596,0.186721288,0.169348123
24,0.182224801,0.930639084,0.186721288,0.653375596,0.830651877
25,0.710322447,0.246137302,0.270074017,0.063342335,0.962064545
26,0.753862698,0.289677553,0.063342335,0.270074017,0.037935455
27,0.254033731,0.637827298,0.663472609,0.382996214,0.983067143
28,0.362172702,0.745966269,0.382996214,0.663472609,0.016932857
29,0.602114044,0.195043927,0.669898145,0.451173332,0.367071894
30,0.804956073,0.397885956,0.451173332,0.669898145,0.632928106
31,0.683110057,0.244117417,0.31199342,0.159032288,0.863507916
32,0.755882583,0.316889943,0.159032288,0.31199342,0.136492084
33,0.155050833,0.968378809,0.324575238,0.538450351,0.407885741
34,0.031621191,0.844949167,0.538450351,0.324575238,0.592114259
35,0.822896315,0.710199575,0.669465645,0.05448884,0.053637075
36,0.289800425,0.177103685,0.05448884,0.669465645,0.946362925
37,0.117130583,0.484029733,0.451382315,0.047408963,0.365297803
38,0.515970267,0.882869417,0.047408963,0.451382315,0.634702197
39,0.877521389,0.768533209,0.193362513,0.366788322,0.962907031
40,0.231466791,0.122478611,0.366788322,0.193362513,0.037092969
41,0.786114927,0.252445596,0.484684763,0.127858451,0.959613826
42,0.747554404,0.213885073,0.127858451,0.484684763,0.040386174
43,0.304276835,0.474738908,0.688659588,0.360889757,0.843231032
44,0.525261092,0.695723165,0.360889757,0.688659588,0.156768968
45,0.57660366,0.223072856,0.230053185,0.492636719,0.819448956
46,0.776927144,0.42339634,0.492636719,0.230053185,0.180551044
47,0.292573958,0.224891144,0.488130155,0.359672095,0.66261961
48,0.775108856,0.707426042,0.359672095,0.488130155,0.33738039
49,0.416118426,0.694763654,0.103140742,0.622019915,0.124392084
50,0.305236346,0.583881574,0.622019915,0.103140742,0.875607916
51,0.524290062,0.569591536,0.375231661,0.327945536,0.511792097
52,0.430408464,0.475709938,0.327945536,0.375231661,0.488207903
53,0.971750231,0.083757509,0.605720473,0.228205792,0.222275513
54,0.916242491,0.028249769,0.228205792,0.605720473,0.777724487
55,0.028575305,0.088369366,0.328806667,0.613697011,0.091567022
56,0.911630634,0.971424695,0.613697011,0.328806667,0.908432978
57,0.09968104,0.240902114,0.071542355,0.225677549,0.584988815
58,0.759097886,0.90031896,0.225677549,0.071542355,0.415011185
59,0.098782819,0.488231785,0.252331031,0.291550966,0.300964386
60,0.511768215,0.901217181,0.291550966,0.252331031,0.699035614
61,0.522157914,0.949957824,0.295913644,0.294192621,0.944729011
62,0.050042176,0.477842086,0.294192621,0.295913644,0.055270989
63,0.505840523,0.594808387,0.560580795,0.505179338,0.151987566
64,0.405191613,0.494159477,0.505179338,0.560580795,0.848012434
65,0.445940479,0.394650311,0.335295306,0.636916279,0.84388144
66,0.605349689,0.554059521,0.636916279,0.335295306,0.15611856
67,0.444768541,0.998540404,0.613361776,0.165264282,0.227313807
68,0.001459596,0.555231459,0.165264282,0.613361776,0.772686193
69,0.856590394,0.010825982,0.383210803,0.658632517,0.486421027
70,0.989174018,0.143409606,0.658632517,0.383210803,0.513578973
71,0.622377663,0.675498576,0.556105018,0.180431956,0.759760744
72,0.324501424,0.377622337,0.180431956,0.556105018,0.240239256
73,0.549640847,0.078837153,0.449711797,0.344392507,0.718787311
74,0.921162847,0.450359153,0.344392507,0.449711797,0.281212689
75,0.399905744,0.020266265,0.100904824,0.261672816,0.753799981
76,0.979733735,0.600094256,0.261672816,0.100904824,0.246200019
77,0.426392671,0.206340453,0.075892978,0.055249029,0.334615761
78,0.793659547,0.573607329,0.055249029,0.075892978,0.665384239
79,0.683582017,0.872903781,0.478352853,0.080360766,0.195009117
80,0.127096219,0.316417983,0.080360766,0.478352853,0.804990883
81,0.21349051,0.97122835,0.400768689,0.098482337,0.841756786
82,0.02877165,0.78650949,0.098482337,0.400768689,0.158243214
83,0.914806043,0.937075413,0.198336812,0.575622431,0.641745519
84,0.062924587,0.085193957,0.575622431,0.198336812,0.358254481
85,0.485037682,0.910766036,0.039976495,0.48894492,0.313495099
86,0.089233964,0.514962318,0.48894492,0.039976495,0.686504901
87,0.743417764,0.282871363,0.351841715,0.399712162,0.032192542
88,0.717128637,0.256582236,0.399712162,0.351841715,0.967807458
89,0.63337281,0.317536648,0.1669943,0.262296685,0.352144297
90,0.682463352,0.36662719,0.262296685,0.1669943,0.647855703
91,0.184348582,0.243362653,0.404796303,0.239572181,0.23312622
92,0.756637347,0.815651418,0.239572181,0.404796303,0.76687378
93,0.976961999,0.373916046,0.527832985,0.570107741,0.573544417
94,0.626083954,0.023038001,0.570107741,0.527832985,0.426455583
95,0.579166205,0.033829413,0.00188312,0.261546006,0.243292001
96,0.966170587,0.420833795,0.261546006,0.00188312,0.756707999
97,0.365699091,0.487854219,0.187018017,0.420617228,0.045809116
98,0.512145781,0.634300909,0.420617228,0.187018017,0.954190884
99,0.708727096,0.437659863,0.13863283,0.531689626,0.513161889
100,0.562340137,0.291272904,0.531689626,0.13863283,0.486838111
